feature,rf_importance,elasticnet_abs_coef,rf_importance_norm,elasticnet_norm,consensus_score,rank
days_to_birth,0.9740987729103147,9.609841902269178,0.9999999999989735,0.999999999999896,0.9999999999993424,1
days_to_last_followup,0.007028938569715661,0.01571079068994981,0.007215837618507708,0.0016348646366636248,0.004983448425770074,2
days_to_new_tumor_event_after_initial_treatment,0.005579642382662799,0.0,0.005728004734044346,0.0,0.0034368028404266077,3
days_to_additional_surgery_metastatic_procedure,0.0012014076241237816,0.010846460408645127,0.0012333529797323355,0.0011286825026832978,0.0011914847889127203,4
year_of_tobacco_smoking_onset,0.0014616674532490822,0.0,0.0015005331018748316,0.0,0.0009003198611248989,5
longest_dimension,0.001427034493314038,0.0,0.0014649792536428545,0.0,0.0008789875521857126,6
year_of_initial_pathologic_diagnosis,0.0012573027952251967,0.0,0.0012907344000315931,0.0,0.0007744406400189558,7
intermediate_dimension,0.0010061501972500172,0.0,0.0010329036697612397,0.0,0.0006197422018567438,8
days_to_death,0.0009897138526244512,0.0,0.001016030283732385,0.0,0.000609618170239431,9
tobacco_smoking_history,0.0009624999160306706,0.0,0.0009880927302207986,0.0,0.0005928556381324791,10
shortest_dimension,0.000880243582084336,0.0,0.0009036492053608987,0.0,0.0005421895232165392,11
number_pack_years_smoked,0.0007500937879106885,0.0,0.0007700387360810069,0.0,0.0004620232416486041,12
Estimated_allele_fraction_of_a_clonal_varnt_prsnt_t_1_cpy_pr_cll,0.0007055632780352702,0.0,0.0007243241626580996,0.0,0.00043459449759485975,13
ABSOLUTE_Ploidy,0.0005372179845611383,0.0,0.000551502578075877,0.0,0.0003309015468455262,14
stopped_smoking_year,0.0005345093729612649,0.0,0.0005487219446584073,0.0,0.00032923316679504437,15
ABSOLUTE_Purity,0.00043849540476752577,0.0,0.0004501549708937452,0.0,0.0002700929825362471,16
tissue_source_site,0.0003540512747877113,0.0,0.000363465476636983,0.0,0.00021807928598218982,17
pre_bronchodilator_fev1_percent,0.00022770515594256732,0.0,0.00023375982218109046,0.0,0.00014025589330865428,18
pre_bronchodilator_fev1_fvc_percent,0.0001357298131902441,0.0,0.00013933886066254332,0.0,8.3603316397526e-05,19
karnofsky_performance_score,0.00010262639062184888,0.0,0.00010535522010270753,0.0,6.321313206162451e-05,20
post_bronchodilator_fev1_percent,8.762590701749312e-05,0.0,8.995587455223177e-05,0.0,5.397352473133906e-05,21
dlco_predictive_percent,7.126693463028574e-05,0.0,7.316191808484511e-05,0.0,4.3897150850907066e-05,22
eastern_cancer_oncology_group,6.785144602850432e-05,0.0,6.965561184900676e-05,0.0,4.179336710940405e-05,23
post_bronchodilator_fev1_fvc_percent,6.0824427916176816e-05,0.0,6.24417457527323e-05,0.0,3.746504745163937e-05,24
days_to_collection,2.2616505233238467e-05,0.0,2.3217876730964278e-05,0.0,1.3930726038578566e-05,25
initial_weight,7.129982436810753e-06,0.0,7.319568235879394e-06,0.0,4.391740941527636e-06,26
days_to_additional_surgery_locoregional_procedure,1.727625756388636e-06,0.0,1.7735632201088143e-06,0.0,1.0641379320652885e-06,27
WGS_as_of_20120731_0_no_1_yes,1.5909316081462097e-06,0.0,1.6332343827837402e-06,0.0,9.79940629670244e-07,28
days_to_initial_pathologic_diagnosis,0.0,0.0,0.0,0.0,0.0,29
