feature,rf_importance,elasticnet_abs_coef,rf_importance_norm,elasticnet_norm,consensus_score,rank
days_to_birth,0.9982571683975568,8.596870022343223,0.9999999999989982,0.9999999999998836,0.9999999999993524,1
days_to_collection,0.00037431200364711133,0.00329304668496908,0.00037496550537933755,0.0003830518172788567,0.0003782000301391452,2
year_of_initial_pathologic_diagnosis,0.0004477576399104572,0.0,0.00044853936849636403,0.0,0.00026912362109781843,3
initial_weight,0.0003871172563662514,0.0,0.000387793114460956,0.0,0.0002326758686765736,4
tissue_source_site,6.931608770704177e-05,0.0,6.943710488775287e-05,0.0,4.166226293265172e-05,5
pre_bronchodilator_fev1_percent,5.7550583362837315e-05,0.0,5.765105945110538e-05,0.0,3.459063567066323e-05,6
year_of_tobacco_smoking_onset,5.2110880563469046e-05,0.0,5.220185961405853e-05,0.0,3.1321115768435115e-05,7
shortest_dimension,4.383954611432924e-05,0.0,4.391608445412754e-05,0.0,2.6349650672476522e-05,8
number_pack_years_smoked,4.2652555850152416e-05,0.0,4.272702185407525e-05,0.0,2.563621311244515e-05,9
days_to_last_followup,3.971107996932995e-05,0.0,3.9780410525912894e-05,0.0,2.3868246315547737e-05,10
dlco_predictive_percent,3.895056737847712e-05,0.0,3.9018570175622325e-05,0.0,2.3411142105373394e-05,11
intermediate_dimension,3.226989020455517e-05,0.0,3.232622937867182e-05,0.0,1.9395737627203092e-05,12
longest_dimension,3.124656311137925e-05,0.0,3.1301115684955414e-05,0.0,1.8780669410973247e-05,13
karnofsky_performance_score,2.2093684103574787e-05,0.0,2.213225690031191e-05,0.0,1.3279354140187146e-05,14
stopped_smoking_year,1.967703612304124e-05,0.0,1.9711389756016386e-05,0.0,1.1826833853609831e-05,15
tobacco_smoking_history,1.730089834430418e-05,0.0,1.7331103539240252e-05,0.0,1.039866212354415e-05,16
pre_bronchodilator_fev1_fvc_percent,1.658147272712622e-05,0.0,1.6610421895318684e-05,0.0,9.96625313719121e-06,17
post_bronchodilator_fev1_fvc_percent,1.4808178223997387e-05,0.0,1.4834031442772652e-05,0.0,8.90041886566359e-06,18
eastern_cancer_oncology_group,1.3188325309753497e-05,0.0,1.3211350468848347e-05,0.0,7.926810281309007e-06,19
days_to_new_tumor_event_after_initial_treatment,1.2922311522971474e-05,0.0,1.2944872255414856e-05,0.0,7.766923353248914e-06,20
post_bronchodilator_fev1_percent,9.263054724997369e-06,0.0,9.279226854796869e-06,0.0,5.567536112878121e-06,21
days_to_additional_surgery_metastatic_procedure,1.6198717802133233e-07,0.0,1.6226998728313515e-07,0.0,9.736199236988108e-08,22
days_to_initial_pathologic_diagnosis,0.0,0.0,0.0,0.0,0.0,23
days_to_additional_surgery_locoregional_procedure,0.0,0.0,0.0,0.0,0.0,24
